
2012-05-20 01:55:32 008 212.18 1 2 

2012-05-20 02:14:57 008 213.00 1 2 


2012-05-20 09:54:18 008 39.65 1 1 


2012-05-14 01:11:41 009 51.92 1 1 


2012-05-15 14:06:36 009 60.79 1 2 

2012-05-20 04:33:54 009 55.99 1 1 

2012-05-20 04:40:06 009 60.77 1 1 
 

2012-05-20 08:51:12 009 58.06 1 2 


2012-05-12 00:52:01 010 87.14 2 1 1 

2012-05-12 01:13:52 010 90.71 2 1 1 

2012-05-12 02:24:27 010 90.96 2 1 1 


2012-05-13 10:30:03 010 90.23 2 1 1 

2012-05-13 11:21:33 010 92.12 2 1 2 

2012-05-13 13:45:34 010 48.53 2 2 2 

2012-05-13 15:10:57 010 50.43 2 2 2 

2012-05-13 15:20:04 010 53.02 2 2 2 

2012-05-13 15:57:17 010 92.01 2 1 2 

2012-05-13 16:16:24 010 51.65 2 2 2 

2012-05-13 16:53:05 010 51.12 2 2 2 

2012-05-13 17:05:55 010 53.45 2 2 2 

2012-05-15 03:11:08 010 86.55 2 1 2 

2012-05-15 03:31:37 010 92.50 2 1 2 

2012-05-15 11:46:33 010 39.73 2 2 2 

2012-05-15 11:57:07 010 53.43 2 2 2 

2012-05-15 12:40:02 010 50.16 2 2 2 

2012-05-15 12:48:45 010 50.17 2 2 2 

2012-05-15 13:04:25 010 48.07 2 2 2 

2012-05-15 13:16:54 010 47.34 2 2 2 

2012-05-15 14:39:57 010 50.71 2 2 2 

2012-05-15 14:51:54 010 50.87 2 2 2 

2012-05-15 15:29:53 010 48.95 2 2 2 

2012-05-15 15:39:48 010 46.29 2 2 2 

2012-05-15 16:55:47 010 46.24 2 2 2 

2012-05-15 17:03:40 010 48.13 2 2 2 

2012-05-15 17:39:20 010 49.45 2 2 2 

2012-05-15 17:46:41 010 49.89 2 2 2 

2012-05-15 13:28:03 010 54.15 2 2 1 

2012-05-15 16:12:15 010 40.92 2 2 1 

2012-05-15 17:05:00 010 46.45 2 2 1 

2012-05-15 01:40:09 010 51.90 2 2 1 

2012-05-15 02:35:01 010 46.43 2 2 1 

2012-05-15 09:09:44 010 96.44 2 1 1 

2012-05-15 16:07:00 010 91.51 2 1 1 

2012-05-15 16:18:55 010 90.62 2 1 1 
 

2012-05-15 18:18:46 010 89.13 2 1 1 


2012-05-15 19:02:47 010 91.43 2 1 1 


2012-05-15 09:42:34 010 87.70 2 1 1 

2012-05-19 05:44:13 010 86.56 2 1 1 

2012-05-19 06:39:22 010 91.79 2 1 1 

2012-05-19 06:49:42 010 91.26 2 1 1 

2012-05-19 09:18:54 010 88.41 2 1 1 

2012-05-19 16:19:35 010 90.52 2 1 1 

2012-05-19 18:12:26 010 83.53 2 1 1 

2012-05-20 01:54:53 010 80.13 2 1 2 

2012-05-20 02:15:15 010 47.52 2 2 1 

2012-05-20 09:40:18 010 98.42 2 1 1 



2012-05-12 00:51:21 011 108.49 3 1 2 1 

2012-05-12 01:15:12 011 102.94 3 1 2 1 

2012-05-12 02:19:51 011 109.73 3 1 2 1 

2012-05-12 02:28:17 011 108.30 3 1 2 1 


2012-05-13 10:33:15 011 111.69 3 1 2 1 

2012-05-13 11:20:45 011 119.13 3 2 2 1 



2012-05-13 15:20:58 011 74.69 3 2 1 1 

2012-05-13 15:48:28 011 115.11 3 2 2 1 

2012-05-13 15:58:11 011 120.09 3 2 2 1 

2012-05-13 16:17:26 011 76.77 3 2 1 1 

2012-05-13 16:52:12 011 74.71 3 2 1 1 

2012-05-13 17:08:53 011 79.56 3 2 1 1 

2012-05-14 01:07:34 011 38.39 3 2 2 2 

2012-05-14 06:06:43 011 29.18 3 2 2 2 

2012-05-14 18:51:08 011 77.70 3 2 1 1 

2012-05-15 03:10:29 011 115.55 3 2 2 1 

2012-05-15 03:32:57 011 115.69 3 2 2 1 

2012-05-15 04:24:41 011 33.08 3 2 1 2 

2012-05-15 04:29:32 011 42.79 3 2 1 2 

2012-05-15 18:43:20 011 38.62 3 2 2 2 

2012-05-15 11:45:57 011 72.13 3 2 1 1 

2012-05-15 11:58:01 011 76.40 3 2 1 1 

2012-05-15 12:39:21 011 76.63 3 2 1 1 

2012-05-15 12:49:20 011 74.53 3 2 1 1 

2012-05-15 13:03:36 011 76.08 3 2 1 1 

2012-05-15 13:17:28 011 74.66 3 2 1 1 

2012-05-15 14:52:58 011 72.41 3 2 1 1 


2012-05-15 15:40:25 011 74.36 3 2 1 1 

2012-05-15 16:55:14 011 76.11 3 2 1 1 

2012-05-15 17:04:35 011 73.52 3 2 1 1 

2012-05-15 17:38:39 011 77.69 3 2 1 1 

2012-05-15 08:07:33 011 118.09 3 2 2 1 

2012-05-15 08:09:29 011 116.21 3 2 2 1 

2012-05-15 08:12:58 011 110.46 3 2 2 1 

2012-05-15 13:26:57 011 75.82 3 1 1 1 

2012-05-15 14:04:43 011 74.41 3 1 1 1 

2012-05-15 14:05:38 011 38.50 3 1 1 2 

2012-05-15 16:14:13 011 71.21 3 1 1 1 

2012-05-15 17:03:58 011 74.42 3 1 1 1 

2012-05-15 01:25:52 011 75.18 3 1 1 1 

2012-05-15 02:34:12 011 74.41 3 1 1 1 

2012-05-15 09:10:43 011 106.62 3 1 2 1 

2012-05-15 16:06:10 011 106.64 3 1 2 1 

2012-05-15 16:19:36 011 107.87 3 1 2 1 

2012-05-15 18:01:59 011 114.51 3 2 2 1 

2012-05-15 18:19:32 011 112.72 3 1 2 1 

2012-05-15 18:54:13 011 107.79 3 1 2 1 

2012-05-15 19:03:22 011 109.53 3 1 2 1 

2012-05-15 09:24:01 011 105.66 3 1 2 1 


2012-05-19 16:00:40 011 115.61 3 2 2 1 

2012-05-19 16:10:39 011 114.14 3 2 2 1 

2012-05-19 01:42:16 011 115.41 3 2 2 1 

2012-05-19 01:58:45 011 116.22 3 2 2 1 

2012-05-19 03:14:35 011 113.41 3 2 2 1 

2012-05-19 05:45:27 011 109.98 3 1 2 1 

2012-05-19 06:50:44 011 110.10 3 1 2 1 

2012-05-19 07:03:59 011 108.25 3 1 2 1 

2012-05-19 08:35:38 011 112.56 3 2 2 1 

2012-05-19 08:36:42 011 102.73 3 1 2 1 

2012-05-19 09:20:15 011 106.86 3 1 2 1 

2012-05-19 16:18:11 011 107.48 3 1 2 1 

2012-05-19 18:46:03 011 76.56 3 1 1 1 

2012-05-20 02:16:46 011 77.21 3 1 1 1 

2012-05-20 04:33:10 011 36.63 3 1 1 2 

2012-05-20 04:40:59 011 41.78 3 2 2 2 

2012-05-20 08:36:02 011 36.24 3 2 2 2 

2012-05-20 09:39:25 011 113.04 3 1 2 1 

2012-05-20 10:00:17 011 108.19 3 1 2 1 



2012-05-14 06:06:29 012 64.33 1 2 

2012-05-15 14:05:50 012 51.84 1 1 

2012-05-20 04:33:21 012 65.20 1 2 

2012-05-20 08:36:13 012 55.37 1 1 

2012-05-20 08:52:09 012 43.24 1 1 


2012-05-12 00:50:58 013 90.60 2 1 1 

2012-05-12 01:16:02 013 82.20 2 1 1 

2012-05-12 02:19:25 013 89.67 2 1 1 

2012-05-12 02:28:48 013 81.32 2 1 1 

2012-05-12 02:33:08 013 88.65 2 1 2 

2012-05-12 04:04:09 013 203.41 2 2 1 

2012-05-12 04:34:57 013 207.11 2 2 1 

2012-05-12 04:37:09 013 90.25 2 1 1 

2012-05-12 04:40:58 013 82.32 2 1 1 

